tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
26.00,337277951#4_0,36.12,7.76,0.00,0.00,49217102_0,5.10,0.00,tripinfo_0 fcd_0,26.00,0,0,194.19,1.06,0.00,3.50,DEFAULT_VEHTYPE,,0,0.00
26.00,337277957#5_0,116.07,6.57,7.00,0.00,337277957#5_0,5.10,0.00,tripinfo_7 fcd_7,19.00,7,0,110.97,0.89,0.00,3.12,DEFAULT_VEHTYPE,,0,0.00
35.00,337277984#7_0,111.15,11.48,12.00,0.00,337277984#6_0,5.10,0.00,tripinfo_12 fcd_12,23.00,12,0,224.13,1.05,0.00,3.38,DEFAULT_VEHTYPE,,0,0.00
55.00,42141326#8_0,65.25,10.92,35.00,0.00,42141326#5_0,5.10,0.00,tripinfo_35 fcd_35,20.00,35,0,182.62,1.02,0.00,3.16,DEFAULT_VEHTYPE,,0,0.00
77.00,337277957#0_1,98.10,5.65,4.00,0.00,42141326#11_0,5.10,0.00,tripinfo_4 fcd_4,73.00,4,0,520.19,1.03,0.00,14.23,DEFAULT_VEHTYPE,,0,0.00
85.00,42141326#9_1,28.83,6.30,9.00,0.00,42141326#0_0,5.10,0.00,tripinfo_9 fcd_9,76.00,9,0,625.81,0.86,0.00,10.25,DEFAULT_VEHTYPE,,0,0.00
85.00,567060342#1_0,65.54,8.10,75.00,7.00,567060342#1_0,5.10,0.00,tripinfo_68 fcd_68,10.00,68,0,60.44,1.04,0.00,2.28,DEFAULT_VEHTYPE,,0,0.00
87.00,49217108#2_0,87.62,8.35,2.00,0.00,49217123_0,5.10,0.00,tripinfo_2 fcd_2,85.00,2,0,413.02,1.01,0.00,35.90,DEFAULT_VEHTYPE,,1,26.00
88.00,49217108#0_0,88.12,8.26,46.00,0.00,49217123_0,5.10,0.00,tripinfo_46 fcd_46,42.00,46,0,313.67,1.00,0.00,4.18,DEFAULT_VEHTYPE,,0,0.00
92.00,567060342#1_0,65.54,7.37,63.00,5.00,553352498#3_0,5.10,0.00,tripinfo_58 fcd_58,29.00,58,0,214.00,1.02,0.00,3.30,DEFAULT_VEHTYPE,,0,0.00
98.00,553352498#3_0,106.60,9.12,33.00,0.00,553352498#0_0,5.10,0.00,tripinfo_33 fcd_33,65.00,33,0,563.65,1.17,0.00,6.66,DEFAULT_VEHTYPE,,0,0.00
103.00,45429543#4_0,75.60,7.35,29.00,0.00,40668087#2_0,5.10,0.00,tripinfo_29 fcd_29,74.00,29,0,298.61,0.93,0.00,34.79,DEFAULT_VEHTYPE,,1,27.00
103.00,42141326#12_0,91.65,11.23,45.00,0.00,42141326#11_0,5.10,0.00,tripinfo_45 fcd_45,58.00,45,0,198.37,1.09,0.00,41.28,DEFAULT_VEHTYPE,,1,33.00
105.00,337277984#8_0,158.41,9.63,39.00,0.00,337277984#4_0,5.10,0.00,tripinfo_39 fcd_39,66.00,39,0,603.73,0.90,0.00,5.36,DEFAULT_VEHTYPE,,0,0.00
106.00,337277957#2_0,107.70,7.28,11.00,0.00,49217110#1_0,5.10,0.00,tripinfo_11 fcd_11,95.00,11,0,440.92,1.03,0.00,42.68,DEFAULT_VEHTYPE,,1,33.00
107.00,40668087#5_0,84.58,8.48,19.00,0.00,49217108#0_0,5.10,0.00,tripinfo_19 fcd_19,88.00,19,0,399.78,1.16,0.00,45.31,DEFAULT_VEHTYPE,,2,31.00
114.00,337277984#1_0,43.81,12.34,37.00,0.00,42141326#11_0,5.10,0.00,tripinfo_37 fcd_37,77.00,37,0,317.10,1.18,0.00,48.57,DEFAULT_VEHTYPE,,1,40.00
115.00,45429543#4_0,75.60,7.18,26.00,0.00,40668087#0_0,5.10,0.00,tripinfo_26 fcd_26,89.00,26,0,532.77,0.92,0.00,18.90,DEFAULT_VEHTYPE,,1,6.00
117.00,337277984#5_0,114.84,10.50,22.00,0.00,45429543#0_0,5.10,0.00,tripinfo_22 fcd_22,95.00,22,0,666.26,0.97,0.00,19.35,DEFAULT_VEHTYPE,,1,9.00
122.00,42143912#5_0,42.77,6.65,65.00,0.00,42141326#11_0,5.10,0.00,tripinfo_65 fcd_65,57.00,65,0,203.72,0.88,0.00,31.57,DEFAULT_VEHTYPE,,1,19.00
127.00,492471759#1_0,26.01,8.08,108.00,0.00,492471414_0,5.10,0.00,tripinfo_108 fcd_108,19.00,108,0,139.67,1.06,0.00,3.24,DEFAULT_VEHTYPE,,0,0.00
134.00,492471412#1_0,70.33,6.87,68.00,1.00,40668087#3_0,5.10,0.00,tripinfo_67 fcd_67,66.00,67,0,329.87,0.91,0.00,21.75,DEFAULT_VEHTYPE,,1,11.00
138.00,42143912#3_0,44.90,8.84,10.00,0.00,542428845#0_0,5.10,0.00,tripinfo_10 fcd_10,128.00,10,0,699.93,1.09,0.00,53.05,DEFAULT_VEHTYPE,,2,34.00
139.00,492471759#7_0,180.68,8.32,52.00,0.00,567060342#1_0,5.10,0.00,tripinfo_52 fcd_52,87.00,52,0,687.39,1.02,0.00,8.73,DEFAULT_VEHTYPE,,0,0.00
141.00,45429543#3_0,92.23,6.64,65.00,1.00,45429543#1_0,5.10,0.00,tripinfo_64 fcd_64,76.00,64,0,323.77,0.94,0.00,34.25,DEFAULT_VEHTYPE,,1,24.00
145.00,337277984#2_0,62.31,8.27,24.00,0.00,42141326#10_0,5.10,0.00,tripinfo_24 fcd_24,121.00,24,0,502.56,0.83,0.00,61.19,DEFAULT_VEHTYPE,,3,40.00
